fabricante,ano,categoria,couro,combustivel,km,cilindros,tipo_cambio,rodas,cor,airbags,numero_proprietarios,adesivos_personalizados,historico_troca_oleo,codigo_concessionaria,classificacao_veiculo,faixa_preco
LEXUS,2010,SUV,Sim,Hibrido,186005.0,6,Automatico,23,Prata,12,1,Sim,8,8497,Usado,0.0
HONDA,2006,Hatchback,Nao,GASOLINA,200000.0,4,Variator,17,Preto,2,1,Sim,5,3382,Usado,0.0
FORD,2011,SUV,Sim,Hibrido,168966.0,4,Automatico,15,Branco,0,1,Não,7,1458,Usado,0.0
HONDA,2014,Hatchback,Sim,Gasolina,91901.0,4,Automatico,28,Prata,4,2,Não,5,5374,Usado,0.0
HYUNDAI,2016,SUV,Sim,diesel,160931.0,4,Automatico,20,Branco,4,4,Não,9,8171,Usado,1.0
TOYOTA,2010,Hatchback,Sim,Hibrido,258909.0,4,Automatico,21,Branco,12,2,Não,7,2294,Usado,0.0
HYUNDAI,2013,Sedan,Sim,GASOLINA,216118.0,4,Automatico,4,Cinza,12,2,Não,10,7809,Usado,0.0
LEXUS,2007,SUV,Sim,Gasolina,128500.0,6,Automatico,25,Prata,12,4,Não,3,6352,Usado,1.0
MERCEDES-BENZ,2014,Sedan,Sim,Diesel,184467.0,6,Automatico,21,Branco,12,1,Não,3,7955,Usado,0.0
FORD,1999,Microonibus,Nao,Gás Natural,0.0,8,Manual,4,Azul,0,5,Não,5,5589,Usado,0.0
OPEL,1997,Vagao de carga,Nao,Gás Natural,350000.0,4,Manual,26,Branco,4,4,Não,7,5118,Usado,0.0
LEXUS,2013,SUV,Sim,Hibrido,138038.0,6,Automatico,30,Branco,12,2,Sim,7,6719,Usado,0.0
HYUNDAI,2016,SUV,Sim,DIESEL,76000.0,4,Automatico,6,Branco,4,2,Não,4,8354,Usado,2.0
HYUNDAI,2016,Sedan,Sim,gasolina,121840.0,4,Automatico,2,Azul,12,1,Não,9,8373,Usado,0.0
HYUNDAI,2016,Sedan,Sim,Gasolina,54317.0,4,Automatico,6,Branco,4,1,Sim,2,7628,Usado,1.0
HYUNDAI,2006,Sedan,Sim,GASOLINA,295059.0,6,Automatico,18,Azul,12,3,Sim,1,7867,Usado,0.0
LEXUS,2008,SUV,Sim,Hibrido,364523.0,6,Automatico,30,Preto,12,4,Não,3,3737,Usado,0.0
HYUNDAI,2012,Sedan,Sim,Gasol.,112645.0,4,Automatico,26,Prata,4,5,Não,9,1442,Usado,0.0
TOYOTA,2017,Sedan,Sim,Gasolina,39709.0,4,Automatico,3,Preto,12,5,Não,9,2124,Usado,0.0
FORD,2001,Microonibus,Nao,DIESEL,230000.0,4,Manual,13,Branco,0,5,Não,0,8006,Usado,0.0
OPEL,1995,Sedan,Nao,GASOLINA,0.0,4,Automatico,13,Verde,4,4,Não,0,7336,Usado,0.0
HYUNDAI,2011,Sedan,Sim,Gasolina,158787.0,4,Automatico,14,Prata,4,2,Não,4,4273,Usado,0.0
TOYOTA,2009,SUV,Sim,Hibrido,420550.0,6,Automatico,5,Azul,12,1,Não,2,4518,Usado,0.0
MERCEDES-BENZ,2007,Vagao de carga,Nao,diesel,180000.0,6,Manual,21,Branco,4,2,Não,3,8489,Usado,0.0
PORSCHE,2014,SUV,Sim,DIESEL,175056.0,6,Automatico,19,Branco,12,3,Sim,7,1396,Usado,0.0
BMW,2000,SUV,Sim,Gás Natural,200000.0,8,Automatico,28,Prata,6,2,Não,10,8293,Usado,0.0
TOYOTA,2008,Sedan,Sim,Hibrido,287274.0,6,Automatico,19,Branco,12,4,Não,3,4153,Usado,0.0
JEEP,2007,SUV,Sim,diesel,250000.0,6,Tiptronic,19,Preto,10,4,Não,0,2275,Usado,1.0
HYUNDAI,2011,SUV,Sim,Diesel,162000.0,4,Automatico,28,Cinza,4,2,Sim,10,9544,Usado,1.0
TOYOTA,2019,SUV,Nao,GASOLINA,10200.0,4,Tiptronic,10,Red,12,5,Sim,4,5799,Semi-novo,2.0
